dd,tipoCurto,Potencia_Carga,IA_Sim,IB_Sim,IC_Sim,VA_Sim,VB_Sim,VC_Sim,VA_Entrada_TRIF,VB_Entrada_TRIF,VC_Entrada_TRIF,IA_Entrada_TRIF,IB_Entrada_TRIF,IC_Entrada_TRIF
5,3,45000,38.8746201993414,5.14110478693417,43.3680201629262,11176.4687964979,11713.7167777441,687.481834591936,13795.0807507622,13704.2648221715,13698.1846797189,19.9545502990235,27.7079802266417,47.4609245149461
5,4,45000,5.22047343267696,43.4040059591302,38.8211778558204,11701.6988040991,668.366241596775,11189.4659967982,13704.0543622838,13698.386590026,13795.0892679342,27.7803206569659,47.4508037138913,19.872677533184
5,5,45000,43.6093235458654,39.0576399678937,5.15640316292448,488.691684763643,11269.3847799183,11625.945192195,13698.2721729406,13795.1196189031,13702.7682623254,47.7073115495291,20.0200367001781,27.8760611693146
5,1,75000,78.6043034747226,76.6903414993717,76.9441690037722,797.850540663513,1142.38420638838,1089.84039938648,13589.7907794604,13590.100324564,13584.9345699264,77.888173302608,76.212440590431,78.1381092172542
5,2,75000,78.6043034747226,76.6903414993717,76.9441690037722,797.850540663513,1142.38420638838,1089.84039938648,13589.7907794604,13590.100324564,13584.9345699264,77.888173302608,76.212440590431,78.1381092172542
5,3,75000,63.2436291301275,8.48886805251009,70.5380402817255,11019.3427238172,11874.8990487256,1118.07435368879,13791.8136839265,13647.4408732109,13632.8027558854,32.4963032646057,45.0762167496968,77.1982299880293
5,4,75000,8.70072486943539,70.635364789735,63.0988707107478,11855.7883149411,1086.93163394192,11041.8092536992,13646.864765667,13633.3394565343,13791.8529634549,45.2719480885593,77.1707185880746,32.2748336852705
5,5,75000,71.2123268130388,63.7574141810921,8.52770888270284,797.850634832493,11164.6244658689,11737.0849755232,13632.8520969802,13791.9287129553,13643.3661454512,77.888173352236,32.6816611762382,45.5442189228931
6,1,15000,16.2373878940704,16.1713791707813,16.1799788759665,199.288831023277,257.757617088654,247.335033007366,13755.4435894521,13755.4449123261,13755.2715628696,16.2125626793115,16.1550654316876,16.2211405342059
6,2,15000,16.2373878940704,16.1713791707813,16.1799788759665,199.288831023277,257.757617088654,247.335033007366,13755.4435894521,13755.4449123261,13755.2715628696,16.2125626793115,16.1550654316876,16.2211405342059
6,3,15000,13.2539536217983,1.73688579411343,14.7965707928336,11344.8243617735,11541.3129998842,253.388673399569,13798.3507135326,13766.6829319676,13765.6419155672,6.7928877075988,9.45592101095404,16.188427517997
6,4,15000,1.74397544498029,14.8001314081442,13.2494444753292,11538.2710727079,248.194908895246,11348.3641850164,13766.6637922081,13765.6598391181,13798.351931244,9.46260985007144,16.1878825888977,6.78564485073795
6,5,15000,14.8197538240067,13.2723555685554,1.73788044824568,199.288809204413,11370.2873284708,11517.8450944956,13765.6484546525,13798.3548790842,13766.5468808335,16.2125626756477,6.80016068816304,9.47162952684528
6,1,30000,32.1388883822745,31.8831843482749,31.9130289001098,393.892353814564,507.771639793233,488.816986477784,13712.2856435954,13712.3119161707,13711.6259375783,32.0439942444604,31.817461110995,32.0736890937273
6,2,30000,32.1388883822745,31.8831843482749,31.9130289001098,393.892353814564,507.771639793233,488.816986477784,13712.2856435954,13712.3119161707,13711.6259375783,32.0439942444604,31.817461110995,32.0736890937273
6,3,30000,26.1605130252779,3.448735282502,29.1974837211504,11252.8189768944,11636.0532741346,500.01618945816,13796.7137667443,13734.9554931874,13731.7914877058,13.4169150892929,18.6583439820801,31.9470402489905
6,4,30000,3.47639425991583,29.2114763355479,26.1427695725039,11630.1447754874,489.788834107821,11260.0182904952,13734.8797624869,13731.8612493371,13796.7197485007,18.6846382083732,31.9448853910105,13.3884345190565
6,5,30000,29.2905077728247,26.2345318180393,3.45243118543915,393.892622076017,11301.9356501314,11590.7143507859,13731.8024110966,13796.7308962628,13734.4169384515,32.0439940458975,13.4462817232546,18.7212516605601
6,1,45000,47.7059643625578,47.148840243919,47.2063879496229,583.905639110485,750.230927923763,724.480405910978,13670.4948360144,13670.597646911,13669.0726704787,47.5019571548953,47.0002122516299,47.5590774203906
6,2,45000,47.7059643625578,47.148840243919,47.2063879496229,583.905639110485,750.230927923763,724.480405910978,13670.4948360144,13670.597646911,13669.0726704787,47.5019571548953,47.0002122516299,47.5590774203906
6,3,45000,38.7210368431748,5.14700685835832,43.2143945286025,11165.1544637147,11725.6213260569,740.016774189809,13795.0781927652,13704.7533372732,13698.4946413109,19.867395003888,27.6202388674192,47.2832598213295
6,4,45000,5.2078253770403,43.2453927447757,38.6816790764478,11716.9962831965,724.880488336467,11176.1423979887,13704.5845172702,13698.6476787765,13795.0940107135,27.6785050038949,47.2784574615195,19.8042653466452
6,5,45000,43.4240656188973,38.888132423511,5.15474199206732,583.905786787763,11236.1571141423,11659.9436920177,13698.4874932937,13795.1177706662,13703.5555314116,47.5019571217551,19.9338088009701,27.7618156345227
6,1,75000,77.8462245901955,76.395311926475,76.5068453965215,950.54577432343,1213.27215411802,1178.56034225446,13590.8799999454,13591.381044789,13587.2597981991,77.3289014654902,75.9804031793765,77.4390898466756
6,2,75000,77.8462245901955,76.395311926475,76.5068453965215,950.54577432343,1213.27215411802,1178.56034225446,13590.8799999454,13591.381044789,13587.2597981991,77.3289014654902,75.9804031793765,77.4390898466756
6,3,75000,62.8311662128138,8.50473511953868,70.1255723321521,11004.4478387971,11892.1324532592,1200.64771024895,13791.8084902544,13648.7189824224,13633.6773220264,32.2623895205684,44.8408218683392,76.7211175642548
