dd,n,tipoCurto,Potencia_Carga,IA_Sim,IB_Sim,IC_Sim,VA_Sim,VB_Sim,VC_Sim,VA_Entrada_TRIF,VB_Entrada_TRIF,VC_Entrada_TRIF,IA_Entrada_TRIF,IB_Entrada_TRIF,IC_Entrada_TRIF
5,0.71,1,30000,32.4496916502778,32.0015984171391,32.0960880448279,234.695245111449,432.192088606107,399.429830147982,13711.8634754594,13711.7770715449,13710.6847389455,32.2697673728718,31.9141702219606,32.3634739415913
5,0.81,1,30000,32.3860163034806,31.9776060803965,32.0585752014703,267.368250346181,447.588167624925,416.014043149199,13711.948811628,13711.8866606735,13710.8773951278,32.2236630769035,31.8945551708842,32.3040153652567
5,0.91,1,30000,32.3224666085081,31.9535234313824,32.021141319476,299.946981157684,463.00081935069,433.566178047092,13712.0345741228,13711.9960256478,13711.0697618629,32.1775722378578,31.8748771735409,32.2447201992216
5,0.01,2,30000,32.8989024591683,32.1669130607211,32.3609160321907,3.33897820735764,325.162874300546,324.042959714963,13711.2785524289,13711.0036022079,13709.3283083996,32.5927918330346,32.0496673149913,32.7842745664986
5,0.11,2,30000,32.8343596792919,32.1435871222646,32.3228422562766,36.6734592938785,340.34263072388,329.227659337954,13711.3607398522,13711.1147796047,13709.522895158,32.5466207675058,32.0305084548217,32.7236680580487
5,0.21,2,30000,32.7699389940946,32.1201625061331,32.2848491968335,69.9135615034117,355.568235692197,336.558339359964,13711.4433943716,13711.225730473,13709.717219641,32.5004561824999,32.0112828700535,32.6632253493851
5,0.31,2,30000,32.7056416420925,32.0966402314601,32.2469365633209,103.05887578235,370.833149481327,345.87604440384,13711.526510138,13711.3364518,13709.911275712,32.454299458137,31.9919907033971,32.6029469122614
5,0.41,2,30000,32.6414677279822,32.0730214616548,32.2091040759223,136.109587122806,386.132195462177,357.004050627781,13711.6100821165,13711.4469486828,13710.1050592905,32.4081513050572,31.9726325897995,32.5428324173433
5,0.51,2,30000,32.5774179093535,32.0493069537743,32.1713524000111,169.065958512777,401.460926291067,369.758628147495,13711.6941058009,13711.5572152585,13710.2985673307,32.362012225573,31.9532093395336,32.4828826602569
5,0.61,2,30000,32.513492241942,32.0254990268783,32.1336807021273,201.927796022134,416.815355843254,383.958175950522,13711.778571823,13711.6672545388,13710.4917949421,32.3158838473396,31.9337220062165,32.4230965293411
5,0.71,2,30000,32.4496916502778,32.0015984171391,32.0960880448279,234.695245111449,432.192088606107,399.429830147982,13711.8634754594,13711.7770715449,13710.6847389455,32.2697673728718,31.9141702219606,32.3634739415913
5,0.81,2,30000,32.3860163034806,31.9776060803965,32.0585752014703,267.368250346181,447.588167624925,416.014043149199,13711.948811628,13711.8866606735,13710.8773951278,32.2236630769035,31.8945551708842,32.3040153652567
5,0.91,2,30000,32.3224666085081,31.9535234313824,32.021141319476,299.946981157684,463.00081935069,433.566178047092,13712.0345741228,13711.9960256478,13711.0697618629,32.1775722378578,31.8748771735409,32.2447201992216
5,0.01,3,30000,26.5809040001839,3.42515444557636,29.6104652646677,11305.2082515094,11584.7169398944,297.625875790567,13796.724523793,13733.6180560291,13730.972873252,13.6598447501092,18.8898421459321,32.4289966709642
5,0.11,3,30000,26.5451447682275,3.42729354098469,29.5754727092359,11300.5938653616,11589.1331025642,312.809945780026,13796.7235140257,13733.7319183684,13731.0418039809,13.6390977977074,18.8703059160394,32.388080051101
5,0.21,3,30000,26.5094538104455,3.42942669830026,29.5405448434514,11296.018009501,11593.5291594302,328.523644088304,13796.722518002,13733.8454786249,13731.1107385775,13.6183929190473,18.8508051522305,32.3472401140907
5,0.31,3,30000,26.4738311641194,3.43155390989282,29.505681715337,11291.480767151,11597.9050795447,344.685207080617,13796.7215340283,13733.9587373165,13731.1796761915,13.5977301245878,18.831339884536,32.3064769102858
5,0.41,3,30000,26.4382764453497,3.43367511779976,29.4708828125583,11286.9814371791,11602.2607037047,361.226085507805,13796.7205609084,13734.0716966889,13731.2486154677,13.5771092749345,18.8119097489093,32.2657899205444
