phaseMinAmps,phaseMinSeconds,phaseTotClrAmps,phaseTotClrSeconds
115.2826200336117,0.6111293996776572,115.2826200336117,0.8625563223563552
112.92991350231351,0.6185554110803251,112.92991350231351,0.873949463000206
110.6252213900214,0.6263003061384239,110.6252213900214,0.8858355140822827
108.3675638106332,0.634378055228786,108.3675638106332,0.8982363913575093
106.15598087572232,0.6428032648796925,106.15598087572232,0.9111750366197383
103.98953228642186,0.6515912088294777,103.98953228642186,0.9246754702332293
101.86729693363775,0.6607578607806954,101.86729693363775,0.9387628467393643
99.78837250642064,0.6703199289573695,99.78837250642064,0.95346351375077
97.75187510833042,0.6802948925808568,97.75187510833042,0.9688050743622433
95.75693888162981,0.6907010403885643,95.75693888162981,0.9848164533267237
93.80271563914756,0.7015575113292272,93.80271563914756,1.0015279672651691
91.88837450365476,0.712884337578752,91.88837450365476,1.0189713992017815
